task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
conditional,UK,2015Q4,False,0,7,Gaussian VAR,0.597324,0.479617,7.021702,0.170886,0.523810,0.773810,1.485774,2.261101
conditional,UK,2015Q4,False,0,19,Gaussian VAR,0.593675,0.474175,6.981887,0.169783,0.511905,0.773810,1.503201,2.303819
conditional,UK,2015Q4,False,0,43,Gaussian VAR,0.595076,0.475557,6.993104,0.170569,0.511905,0.773810,1.508736,2.303737
conditional,UK,2016Q4,False,0,7,Gaussian VAR,0.483929,0.403289,6.287032,0.143799,0.821429,0.857143,1.522614,2.331466
conditional,UK,2016Q4,False,0,19,Gaussian VAR,0.482286,0.400761,6.270340,0.144166,0.809524,0.857143,1.535440,2.354975
conditional,UK,2016Q4,False,0,43,Gaussian VAR,0.482725,0.402063,6.259072,0.143121,0.821429,0.857143,1.523702,2.338559
conditional,UK,2017Q4,True,4,7,Gaussian VAR,1.273568,1.102872,40.655910,1.112986,0.702381,0.785714,1.547995,2.353826
conditional,UK,2017Q4,True,4,19,Gaussian VAR,1.276191,1.103771,40.595741,1.110673,0.702381,0.773810,1.560399,2.371063
conditional,UK,2017Q4,True,4,43,Gaussian VAR,1.282252,1.109653,40.696442,1.113718,0.702381,0.773810,1.537312,2.340215
conditional,UK,2018Q4,True,8,7,Gaussian VAR,1.368138,1.145703,42.420779,1.195616,0.630952,0.773810,1.557901,2.373389
conditional,UK,2018Q4,True,8,19,Gaussian VAR,1.363875,1.145258,42.293445,1.199586,0.619048,0.785714,1.563427,2.375056
conditional,UK,2018Q4,True,8,43,Gaussian VAR,1.362904,1.143415,42.342645,1.197066,0.630952,0.773810,1.547817,2.360753
conditional,UK,2019Q4,True,8,7,Gaussian VAR,1.686007,1.453353,45.272760,1.430250,0.559524,0.690476,1.541733,2.357083
conditional,UK,2019Q4,True,8,19,Gaussian VAR,1.685055,1.452610,45.274217,1.437978,0.559524,0.726190,1.551899,2.373687
conditional,UK,2019Q4,True,8,43,Gaussian VAR,1.689814,1.454241,45.190026,1.431550,0.571429,0.702381,1.565323,2.382305
conditional,UK,2020Q4,True,4,7,Gaussian VAR,1.087312,0.971062,16.909287,0.679634,0.511905,0.666667,1.663572,2.540706
conditional,UK,2020Q4,True,4,19,Gaussian VAR,1.080188,0.960404,17.097295,0.676133,0.511905,0.690476,1.661620,2.547497
conditional,UK,2020Q4,True,4,43,Gaussian VAR,1.087963,0.970778,17.185878,0.678554,0.523810,0.690476,1.673367,2.559931
conditional,UK,2021Q4,False,0,7,Gaussian VAR,1.154446,1.046941,14.561974,0.438742,0.535714,0.595238,1.702544,2.588814
conditional,UK,2021Q4,False,0,19,Gaussian VAR,1.167792,1.059898,14.726120,0.444996,0.511905,0.595238,1.691698,2.581226
conditional,UK,2021Q4,False,0,43,Gaussian VAR,1.160571,1.053117,14.394918,0.440618,0.523810,0.607143,1.709001,2.604781
conditional,UK,2022Q4,False,0,7,Gaussian VAR,0.876014,0.703250,10.163070,0.344984,0.452381,0.571429,1.758196,2.682051
conditional,UK,2022Q4,False,0,19,Gaussian VAR,0.858770,0.679926,9.562564,0.335923,0.452381,0.595238,1.779292,2.713216
conditional,UK,2022Q4,False,0,43,Gaussian VAR,0.871998,0.696973,9.828172,0.340337,0.440476,0.559524,1.747585,2.666851
conditional,UK,2015Q4,False,0,7,AR-t,0.274939,0.231649,3.564463,0.121145,0.952381,0.988095,1.894840,3.472732
conditional,UK,2015Q4,False,0,19,AR-t,0.275629,0.231379,3.639321,0.121102,0.952381,0.988095,1.889860,3.448541
conditional,UK,2015Q4,False,0,43,AR-t,0.282143,0.234214,3.564187,0.124421,0.952381,1.000000,1.868059,3.460003
conditional,UK,2016Q4,False,0,7,AR-t,0.252393,0.205905,3.240911,0.110657,0.940476,1.000000,1.870259,3.371751
conditional,UK,2016Q4,False,0,19,AR-t,0.244840,0.199953,3.165264,0.108097,0.964286,1.000000,1.837455,3.383464
conditional,UK,2016Q4,False,0,43,AR-t,0.246610,0.202749,3.173133,0.110467,0.940476,1.000000,1.824883,3.412767
conditional,UK,2017Q4,True,4,7,AR-t,1.061022,0.955487,37.775361,1.130083,0.845238,0.952381,1.793085,3.318896
conditional,UK,2017Q4,True,4,19,AR-t,1.057163,0.949245,38.055595,1.127119,0.880952,0.952381,1.809701,3.280925
conditional,UK,2017Q4,True,4,43,AR-t,1.062657,0.956814,37.989354,1.125190,0.880952,0.952381,1.791098,3.294347
conditional,UK,2018Q4,True,8,7,AR-t,1.291816,1.132449,40.682360,1.320311,0.726190,0.916667,1.838141,3.425906
conditional,UK,2018Q4,True,8,19,AR-t,1.292863,1.134191,40.623886,1.325073,0.702381,0.916667,1.816283,3.296905
conditional,UK,2018Q4,True,8,43,AR-t,1.290826,1.133689,40.657597,1.320828,0.654762,0.916667,1.813779,3.344739
conditional,UK,2019Q4,True,8,7,AR-t,1.633064,1.428793,43.470671,1.608374,0.619048,0.797619,1.758078,3.275400
conditional,UK,2019Q4,True,8,19,AR-t,1.629068,1.433656,43.535260,1.610579,0.607143,0.761905,1.740264,3.215827
conditional,UK,2019Q4,True,8,43,AR-t,1.635942,1.435597,43.603933,1.620711,0.619048,0.773810,1.759015,3.206076
conditional,UK,2020Q4,True,4,7,AR-t,1.094611,0.951747,16.228479,0.573455,0.595238,0.690476,1.527749,2.799173
conditional,UK,2020Q4,True,4,19,AR-t,1.096850,0.955136,16.498896,0.571294,0.583333,0.678571,1.541577,2.827447
conditional,UK,2020Q4,True,4,43,AR-t,1.097714,0.958934,16.199856,0.574862,0.583333,0.690476,1.539816,2.818704
conditional,UK,2021Q4,False,0,7,AR-t,0.917225,0.798953,11.533777,0.343924,0.547619,0.654762,1.550682,2.850453
conditional,UK,2021Q4,False,0,19,AR-t,0.920572,0.796728,11.486817,0.346066,0.571429,0.654762,1.551221,2.841859
conditional,UK,2021Q4,False,0,43,AR-t,0.919092,0.803147,11.556098,0.348051,0.547619,0.654762,1.532085,2.826364
conditional,UK,2022Q4,False,0,7,AR-t,0.469980,0.387530,5.402811,0.155683,0.702381,0.833333,1.603975,3.000328
conditional,UK,2022Q4,False,0,19,AR-t,0.462184,0.380142,5.096219,0.151320,0.702381,0.845238,1.622036,2.959668
conditional,UK,2022Q4,False,0,43,AR-t,0.468789,0.385181,5.561558,0.154451,0.702381,0.845238,1.649281,3.113121
conditional,UK,2015Q4,False,0,7,Gaussian GIB-VAR,0.549560,0.389781,6.043325,0.177090,0.738095,0.952381,2.166908,3.538187
conditional,UK,2015Q4,False,0,19,Gaussian GIB-VAR,0.541315,0.382689,5.975037,0.174478,0.726190,0.952381,2.161913,3.513551
conditional,UK,2015Q4,False,0,43,Gaussian GIB-VAR,0.548286,0.388576,5.960474,0.176980,0.666667,0.964286,2.177849,3.631544
conditional,UK,2016Q4,False,0,7,Gaussian GIB-VAR,0.321066,0.242417,3.822434,0.119711,0.880952,0.976190,1.934368,3.011529
conditional,UK,2016Q4,False,0,19,Gaussian GIB-VAR,0.317608,0.240649,3.648283,0.119790,0.892857,0.976190,1.925613,3.044483
conditional,UK,2016Q4,False,0,43,Gaussian GIB-VAR,0.322869,0.244701,3.865862,0.120763,0.892857,0.964286,1.938076,3.032536
conditional,UK,2017Q4,True,4,7,Gaussian GIB-VAR,1.181387,1.019680,39.357483,1.079774,0.773810,0.928571,2.005757,3.105046
conditional,UK,2017Q4,True,4,19,Gaussian GIB-VAR,1.181056,1.015230,39.360235,1.077835,0.773810,0.940476,2.023158,3.094898
conditional,UK,2017Q4,True,4,43,Gaussian GIB-VAR,1.185816,1.023777,39.115476,1.085114,0.773810,0.916667,2.018884,3.118982
conditional,UK,2018Q4,True,8,7,Gaussian GIB-VAR,1.314557,1.154254,40.644329,1.299842,0.845238,0.952381,2.464913,3.962498
conditional,UK,2018Q4,True,8,19,Gaussian GIB-VAR,1.304209,1.142618,40.900051,1.296360,0.845238,0.940476,2.377363,3.737957
conditional,UK,2018Q4,True,8,43,Gaussian GIB-VAR,1.303871,1.146310,40.785556,1.295103,0.845238,0.952381,2.414040,3.870958
conditional,UK,2019Q4,True,8,7,Gaussian GIB-VAR,1.603857,1.396759,43.735861,1.520264,0.726190,0.880952,2.169108,3.362431
conditional,UK,2019Q4,True,8,19,Gaussian GIB-VAR,1.600380,1.395010,43.886127,1.514770,0.726190,0.880952,2.134628,3.287372
conditional,UK,2019Q4,True,8,43,Gaussian GIB-VAR,1.601167,1.393941,43.705452,1.514832,0.726190,0.869048,2.187104,3.371379
conditional,UK,2020Q4,True,4,7,Gaussian GIB-VAR,1.301502,1.052719,20.987342,0.385645,0.726190,0.797619,3.157266,4.977126
