generator,regime,n_origins,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
Gaussian VAR,overall,8,1.065328,0.912029,22.874349,0.689653,0.589286,0.718750,1.601673,2.444421
Gaussian VAR,crisis,4,1.353606,1.167760,36.327869,1.105312,0.602183,0.736111,1.581030,2.411293
Gaussian VAR,calm,4,0.777050,0.656297,9.420830,0.273994,0.576389,0.701389,1.622315,2.477550
AR-t,overall,8,0.874083,0.761803,20.262742,0.670969,0.740575,0.852679,1.725968,3.176891
AR-t,crisis,4,1.270300,1.118811,34.610104,1.158990,0.691468,0.833333,1.727382,3.175362
AR-t,calm,4,0.477866,0.404794,5.915380,0.182949,0.789683,0.872024,1.724553,3.178421
Gaussian GIB-VAR,overall,8,0.993989,0.830969,21.914313,0.659114,0.740079,0.872024,2.336457,3.668502
Gaussian GIB-VAR,crisis,4,1.349463,1.153717,36.195010,1.068757,0.767857,0.888889,2.442292,3.818040
Gaussian GIB-VAR,calm,4,0.638514,0.508221,7.633616,0.249471,0.712302,0.855159,2.230622,3.518963
Student-t GIB-VAR,overall,8,0.978356,0.810638,21.817626,0.638986,0.736607,0.870536,2.243884,3.583598
Student-t GIB-VAR,crisis,4,1.325619,1.123011,35.902724,1.028883,0.784722,0.891865,2.347476,3.730510
Student-t GIB-VAR,calm,4,0.631094,0.498265,7.732527,0.249089,0.688492,0.849206,2.140293,3.436686
Minnesota BVAR,overall,8,0.961530,0.806432,21.711834,0.698764,0.748016,0.848214,2.052073,3.152497
Minnesota BVAR,crisis,4,1.282313,1.115603,35.458476,1.158039,0.745040,0.848214,1.960783,3.035207
Minnesota BVAR,calm,4,0.640746,0.497260,7.965193,0.239490,0.750992,0.848214,2.143364,3.269788
