origin,crisis_overlap,Gaussian VAR,AR-t,Gaussian GIB-VAR,Student-t GIB-VAR,Minnesota BVAR,best
2004Q4,True,0.626417,0.711888,0.595917,0.611260,0.615877,Gaussian GIB-VAR
2005Q4,True,0.987996,1.179369,1.156944,1.034652,0.959667,Minnesota BVAR
2006Q4,True,1.155306,1.456109,1.058373,0.983216,1.008169,Student-t GIB-VAR
2007Q4,True,1.177571,1.220834,0.819936,0.796927,1.001337,Student-t GIB-VAR
2008Q4,True,0.981659,1.106510,0.670438,0.668960,0.795702,Student-t GIB-VAR
2009Q4,True,0.752041,0.530151,0.558157,0.542453,0.562729,AR-t
2010Q4,False,0.594251,0.488760,0.527257,0.517415,0.460899,Minnesota BVAR
2011Q4,False,0.389130,0.354221,0.366117,0.349290,0.339659,Minnesota BVAR
2012Q4,False,0.294552,0.328201,0.340763,0.341776,0.315901,Gaussian VAR
2013Q4,False,0.405626,0.321654,0.383571,0.386235,0.373940,AR-t
2014Q4,False,0.328606,0.262924,0.292844,0.298798,0.299566,AR-t
2015Q4,False,0.325676,0.254138,0.250886,0.247048,0.290777,Student-t GIB-VAR
2016Q4,False,0.320857,0.280934,0.280214,0.270538,0.287429,Student-t GIB-VAR
2017Q4,True,1.385073,0.703542,0.870215,0.767369,0.984580,AR-t
2018Q4,True,1.470682,0.878683,1.051214,1.292346,1.152624,AR-t
2019Q4,True,1.246673,0.863219,0.782066,0.958807,0.875665,Gaussian GIB-VAR
2020Q4,True,0.509716,0.519382,0.490951,0.483003,0.476179,Minnesota BVAR
2021Q4,False,0.652811,0.622175,0.582935,0.573572,0.603952,Student-t GIB-VAR
2022Q4,False,0.338451,0.280290,0.325160,0.316032,0.344146,AR-t
