task,domain,metric,model_a,model_b,regime,n_origins,a_wins,mean_difference_a_minus_b,ci95_low,ci95_high,interval_includes_zero,bootstrap,block_length,bootstrap_draws,seed
conditional,US,crps,Gaussian GIB-VAR,Minnesota BVAR,overall,19,12,-0.018149,-0.055544,0.021322,True,circular moving blocks over origins,3,2000,47105
conditional,US,crps,Gaussian GIB-VAR,Minnesota BVAR,calm,9,5,0.003720,-0.019885,0.033184,True,circular moving blocks over origins,3,2000,86741
conditional,US,crps,Gaussian GIB-VAR,Minnesota BVAR,crisis,10,7,-0.037832,-0.093829,0.038140,True,circular moving blocks over origins,3,2000,53788
conditional,US,qwcrps,Gaussian GIB-VAR,Minnesota BVAR,overall,19,10,-0.005544,-0.040829,0.030618,True,circular moving blocks over origins,3,2000,49704
conditional,US,qwcrps,Gaussian GIB-VAR,Minnesota BVAR,calm,9,4,0.006236,-0.022456,0.035494,True,circular moving blocks over origins,3,2000,22368
conditional,US,qwcrps,Gaussian GIB-VAR,Minnesota BVAR,crisis,10,6,-0.016146,-0.067870,0.057690,True,circular moving blocks over origins,3,2000,35459
conditional,US,energy,Gaussian GIB-VAR,Minnesota BVAR,overall,19,13,-0.263050,-0.796426,0.183982,True,circular moving blocks over origins,3,2000,93683
conditional,US,energy,Gaussian GIB-VAR,Minnesota BVAR,calm,9,6,-0.015069,-0.206239,0.219154,True,circular moving blocks over origins,3,2000,4153
conditional,US,energy,Gaussian GIB-VAR,Minnesota BVAR,crisis,10,7,-0.486234,-1.254472,0.546787,True,circular moving blocks over origins,3,2000,87822
conditional,US,variogram,Gaussian GIB-VAR,Minnesota BVAR,overall,19,13,-0.024473,-0.050909,-0.002026,False,circular moving blocks over origins,3,2000,78512
conditional,US,variogram,Gaussian GIB-VAR,Minnesota BVAR,calm,9,4,0.002013,-0.008048,0.013235,True,circular moving blocks over origins,3,2000,24300
conditional,US,variogram,Gaussian GIB-VAR,Minnesota BVAR,crisis,10,9,-0.048310,-0.070610,-0.014824,False,circular moving blocks over origins,3,2000,48224
conditional,US,crps,Student-t GIB-VAR,Minnesota BVAR,overall,19,11,-0.016268,-0.055942,0.019955,True,circular moving blocks over origins,3,2000,17692
conditional,US,crps,Student-t GIB-VAR,Minnesota BVAR,calm,9,5,-0.001729,-0.028869,0.024090,True,circular moving blocks over origins,3,2000,4431
conditional,US,crps,Student-t GIB-VAR,Minnesota BVAR,crisis,10,6,-0.029354,-0.098597,0.039228,True,circular moving blocks over origins,3,2000,83824
conditional,US,qwcrps,Student-t GIB-VAR,Minnesota BVAR,overall,19,10,-0.000357,-0.035556,0.028524,True,circular moving blocks over origins,3,2000,38752
conditional,US,qwcrps,Student-t GIB-VAR,Minnesota BVAR,calm,9,4,0.002811,-0.025310,0.028317,True,circular moving blocks over origins,3,2000,28165
conditional,US,qwcrps,Student-t GIB-VAR,Minnesota BVAR,crisis,10,6,-0.003208,-0.063517,0.052210,True,circular moving blocks over origins,3,2000,82436
conditional,US,energy,Student-t GIB-VAR,Minnesota BVAR,overall,19,14,-0.425177,-0.880540,-0.024739,False,circular moving blocks over origins,3,2000,82391
