task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
conditional,US,2004Q4,True,4,7,Gaussian VAR,0.629714,0.719290,9.272932,0.236996,0.678571,0.773810,1.630506,2.486289
conditional,US,2004Q4,True,4,19,Gaussian VAR,0.629033,0.713885,9.292890,0.236105,0.678571,0.773810,1.634264,2.520941
conditional,US,2004Q4,True,4,43,Gaussian VAR,0.620504,0.705963,9.246534,0.235017,0.678571,0.773810,1.631211,2.490677
conditional,US,2005Q4,True,8,7,Gaussian VAR,0.987651,1.186352,13.747843,0.378184,0.547619,0.714286,1.614058,2.470300
conditional,US,2005Q4,True,8,19,Gaussian VAR,0.987678,1.186098,13.717710,0.378500,0.547619,0.690476,1.609729,2.455943
conditional,US,2005Q4,True,8,43,Gaussian VAR,0.988659,1.187473,13.733497,0.378103,0.547619,0.702381,1.622865,2.481801
conditional,US,2006Q4,True,12,7,Gaussian VAR,1.154763,1.283328,14.081495,0.375294,0.380952,0.583333,1.685444,2.564682
conditional,US,2006Q4,True,12,19,Gaussian VAR,1.157073,1.287795,14.105886,0.376442,0.380952,0.595238,1.690436,2.580070
conditional,US,2006Q4,True,12,43,Gaussian VAR,1.154082,1.284679,14.256143,0.376802,0.380952,0.607143,1.696146,2.575038
conditional,US,2007Q4,True,12,7,Gaussian VAR,1.183055,1.126433,14.737925,0.413640,0.452381,0.642857,1.776101,2.712862
conditional,US,2007Q4,True,12,19,Gaussian VAR,1.175109,1.116631,14.670221,0.411258,0.476190,0.630952,1.790576,2.730486
conditional,US,2007Q4,True,12,43,Gaussian VAR,1.174549,1.117574,14.654502,0.412684,0.452381,0.630952,1.802239,2.739790
conditional,US,2008Q4,True,8,7,Gaussian VAR,0.978869,0.807661,10.443856,0.342171,0.297619,0.559524,1.575540,2.384871
conditional,US,2008Q4,True,8,19,Gaussian VAR,0.984998,0.814918,10.426595,0.344032,0.261905,0.523810,1.554440,2.366738
conditional,US,2008Q4,True,8,43,Gaussian VAR,0.981112,0.812249,10.410593,0.342720,0.309524,0.511905,1.559038,2.381830
conditional,US,2009Q4,True,4,7,Gaussian VAR,0.751744,0.710376,8.551094,0.303809,0.488095,0.619048,1.529216,2.326302
conditional,US,2009Q4,True,4,19,Gaussian VAR,0.751649,0.707588,8.640107,0.303957,0.500000,0.630952,1.522440,2.320032
conditional,US,2009Q4,True,4,43,Gaussian VAR,0.752730,0.709115,8.534801,0.304826,0.511905,0.607143,1.524646,2.323904
conditional,US,2010Q4,False,0,7,Gaussian VAR,0.599123,0.536108,6.818934,0.226166,0.535714,0.702381,1.546094,2.356956
conditional,US,2010Q4,False,0,19,Gaussian VAR,0.592959,0.530704,6.786827,0.223396,0.535714,0.702381,1.542620,2.350938
conditional,US,2010Q4,False,0,43,Gaussian VAR,0.590671,0.529484,6.686878,0.222758,0.535714,0.714286,1.547695,2.361287
conditional,US,2011Q4,False,0,7,Gaussian VAR,0.393976,0.328167,4.324701,0.134615,0.690476,0.880952,1.569575,2.389606
conditional,US,2011Q4,False,0,19,Gaussian VAR,0.385703,0.321426,4.256626,0.132364,0.690476,0.880952,1.573975,2.397440
conditional,US,2011Q4,False,0,43,Gaussian VAR,0.387712,0.322059,4.312574,0.132358,0.690476,0.869048,1.565102,2.390788
conditional,US,2012Q4,False,0,7,Gaussian VAR,0.295486,0.244610,3.553826,0.106224,0.857143,0.988095,1.582918,2.419388
conditional,US,2012Q4,False,0,19,Gaussian VAR,0.294425,0.244795,3.532386,0.105354,0.857143,0.988095,1.564342,2.385228
conditional,US,2012Q4,False,0,43,Gaussian VAR,0.293746,0.243601,3.499524,0.105366,0.857143,0.988095,1.570709,2.387781
conditional,US,2013Q4,False,0,7,Gaussian VAR,0.404156,0.328205,4.366856,0.122342,0.595238,0.845238,1.550727,2.355541
