generator,regime,n_origins,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
Gaussian VAR,overall,19,0.733847,0.680755,9.759570,0.319095,0.597327,0.762740,1.605351,2.447031
Gaussian VAR,crisis,10,1.029313,0.974156,14.373815,0.478946,0.483730,0.648016,1.622264,2.472983
Gaussian VAR,calm,9,0.405551,0.354754,4.632631,0.141483,0.723545,0.890212,1.586559,2.418195
AR-t,overall,19,0.650683,0.627238,9.182028,0.300933,0.743317,0.883459,1.935300,3.421832
AR-t,crisis,10,0.916969,0.916147,13.637900,0.448364,0.621032,0.810714,1.960968,3.444341
AR-t,calm,9,0.354811,0.306229,4.231060,0.137120,0.879189,0.964286,1.906780,3.396821
Gaussian GIB-VAR,overall,19,0.600208,0.556546,8.029265,0.242702,0.742481,0.870718,1.991573,3.059976
Gaussian GIB-VAR,crisis,10,0.805421,0.772061,11.422929,0.337553,0.660714,0.804762,2.064682,3.156912
Gaussian GIB-VAR,calm,9,0.372194,0.317085,4.258527,0.137312,0.833333,0.944004,1.910340,2.952270
Student-t GIB-VAR,overall,19,0.602089,0.561734,7.867138,0.289765,0.807644,0.921261,2.692090,4.229629
Student-t GIB-VAR,crisis,10,0.813899,0.784999,11.161122,0.430852,0.796429,0.901984,3.511920,5.524920
Student-t GIB-VAR,calm,9,0.366745,0.313661,4.207156,0.133001,0.820106,0.942681,1.781166,2.790417
Minnesota BVAR,overall,19,0.618358,0.562090,8.292315,0.267174,0.782373,0.892439,2.128607,3.303263
Minnesota BVAR,crisis,10,0.843253,0.788207,11.909163,0.385863,0.688492,0.827381,2.280762,3.554055
Minnesota BVAR,calm,9,0.368474,0.310850,4.273595,0.135298,0.886684,0.964727,1.959547,3.024604
