task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
unconditional,UK,2015Q4,False,0,7,GIB-VAR,0.396388,0.296908,5.016741,0.147536,0.937500,0.989583,2.570536,4.742812
unconditional,UK,2015Q4,False,0,19,GIB-VAR,0.420138,0.302824,5.326272,0.149645,0.885417,0.989583,2.566670,4.824154
unconditional,UK,2015Q4,False,0,43,GIB-VAR,0.417923,0.302493,5.339999,0.151437,0.937500,0.989583,2.583838,4.821891
unconditional,UK,2016Q4,False,0,7,GIB-VAR,0.305646,0.260676,3.905417,0.112003,0.958333,1.000000,2.265654,4.146420
unconditional,UK,2016Q4,False,0,19,GIB-VAR,0.303210,0.260162,3.926908,0.110615,0.947917,1.000000,2.253878,4.215417
unconditional,UK,2016Q4,False,0,43,GIB-VAR,0.302151,0.255009,3.951289,0.108681,0.947917,1.000000,2.201194,4.033190
unconditional,UK,2017Q4,True,4,7,GIB-VAR,0.985303,0.890588,37.874571,0.952235,0.885417,0.958333,2.146522,3.950577
unconditional,UK,2017Q4,True,4,19,GIB-VAR,0.985726,0.886370,37.952456,0.947400,0.885417,0.958333,2.107194,3.999590
unconditional,UK,2017Q4,True,4,43,GIB-VAR,0.985913,0.893790,37.889233,0.952463,0.885417,0.958333,2.142912,4.001047
unconditional,UK,2018Q4,True,8,7,GIB-VAR,1.149919,0.999193,40.787438,1.124198,0.833333,0.958333,2.070245,3.693248
unconditional,UK,2018Q4,True,8,19,GIB-VAR,1.151755,1.000092,40.647404,1.122550,0.802083,0.947917,2.096174,3.747122
unconditional,UK,2018Q4,True,8,43,GIB-VAR,1.155163,1.006836,40.753443,1.129502,0.791667,0.947917,2.032187,3.668579
unconditional,UK,2019Q4,True,8,7,GIB-VAR,1.463167,1.273406,43.954112,1.392128,0.718750,0.854167,1.988625,3.702771
unconditional,UK,2019Q4,True,8,19,GIB-VAR,1.455545,1.270454,43.824922,1.388879,0.718750,0.854167,1.981829,3.671866
unconditional,UK,2019Q4,True,8,43,GIB-VAR,1.461376,1.272741,43.967277,1.389930,0.718750,0.864583,1.987383,3.649354
unconditional,UK,2020Q4,True,4,7,GIB-VAR,0.895877,0.744635,15.542288,0.469870,0.697917,0.885417,2.096455,3.983754
