generator,regime,n_origins,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
GIB-VAR,overall,8,0.837781,0.710703,21.098739,0.606613,0.795139,0.909722,2.197464,4.041564
GIB-VAR,crisis,4,1.123354,0.977224,34.536678,0.983884,0.780382,0.912326,2.069668,3.827168
GIB-VAR,calm,4,0.552208,0.444182,7.660799,0.229341,0.809896,0.907118,2.325261,4.255959
Gaussian VAR,overall,8,1.157049,0.984509,25.121264,0.755270,0.597656,0.753472,1.879140,2.865601
Gaussian VAR,crisis,4,1.183263,1.045164,35.577361,1.019693,0.717882,0.842882,1.837808,2.803956
Gaussian VAR,calm,4,1.130835,0.923853,14.665167,0.490847,0.477431,0.664062,1.920471,2.927247
Minnesota BVAR,overall,8,0.902561,0.761970,22.024864,0.642388,0.785590,0.865451,2.168243,3.361845
Minnesota BVAR,crisis,4,1.131602,0.994582,35.074628,1.008091,0.810764,0.886285,2.012451,3.121902
Minnesota BVAR,calm,4,0.673519,0.529358,8.975100,0.276685,0.760417,0.844618,2.324034,3.601788
AR-t,overall,8,0.806603,0.705673,20.364183,0.583499,0.738715,0.861979,1.689209,3.045379
AR-t,crisis,4,1.158928,1.023246,34.597386,0.997852,0.671007,0.837674,1.683575,3.025464
AR-t,calm,4,0.454277,0.388101,6.130980,0.169145,0.806424,0.886285,1.694844,3.065293
