origin,crisis_overlap,GIB-VAR,Gaussian VAR,Minnesota BVAR,AR-t,best
2004Q4,True,0.568130,0.627926,0.599745,0.674245,GIB-VAR
2005Q4,True,1.047926,1.089760,1.042828,1.073230,Minnesota BVAR
2006Q4,True,1.476798,1.628638,1.458418,1.504245,Minnesota BVAR
2007Q4,True,1.404880,1.109631,1.142279,1.424319,Gaussian VAR
2008Q4,True,0.813003,3.198450,1.372597,1.128321,GIB-VAR
2009Q4,True,0.509478,0.806283,0.562922,0.494053,AR-t
2010Q4,False,0.455664,0.570097,0.436520,0.449658,Minnesota BVAR
2011Q4,False,0.358317,0.436437,0.340678,0.330070,AR-t
2012Q4,False,0.300481,0.271170,0.291466,0.320647,Gaussian VAR
2013Q4,False,0.309022,0.299832,0.310018,0.311457,Gaussian VAR
2014Q4,False,0.264814,0.269462,0.273103,0.255066,AR-t
2015Q4,False,0.279799,0.335287,0.303432,0.261022,AR-t
2016Q4,False,0.285738,0.361722,0.311123,0.294876,GIB-VAR
2017Q4,True,0.714267,0.721928,0.729997,0.723719,GIB-VAR
2018Q4,True,0.869752,0.909427,0.898184,0.884057,GIB-VAR
2019Q4,True,0.946611,1.000443,0.948923,0.900313,AR-t
2020Q4,True,0.481879,0.474665,0.503156,0.495544,Gaussian VAR
2021Q4,False,0.553089,0.594327,0.579707,0.556644,GIB-VAR
2022Q4,False,0.317385,0.386457,0.365344,0.261580,AR-t
