task,domain,metric,model_a,model_b,regime,n_origins,a_wins,mean_difference_a_minus_b,ci95_low,ci95_high,interval_includes_zero,bootstrap,block_length,bootstrap_draws,seed
unconditional,US,crps,GIB-VAR,Minnesota BVAR,overall,19,13,-0.027022,-0.077605,0.012287,True,circular moving blocks over origins,3,2000,38657
unconditional,US,crps,GIB-VAR,Minnesota BVAR,calm,9,6,-0.009676,-0.031512,0.009239,True,circular moving blocks over origins,3,2000,55091
unconditional,US,crps,GIB-VAR,Minnesota BVAR,crisis,10,7,-0.042633,-0.153445,0.038892,True,circular moving blocks over origins,3,2000,96530
unconditional,US,qwcrps,GIB-VAR,Minnesota BVAR,overall,19,12,-0.013444,-0.056407,0.028875,True,circular moving blocks over origins,3,2000,22013
unconditional,US,qwcrps,GIB-VAR,Minnesota BVAR,calm,9,5,-0.008001,-0.035455,0.008428,True,circular moving blocks over origins,3,2000,53216
unconditional,US,qwcrps,GIB-VAR,Minnesota BVAR,crisis,10,7,-0.018342,-0.110161,0.057769,True,circular moving blocks over origins,3,2000,30807
unconditional,US,energy,GIB-VAR,Minnesota BVAR,overall,19,9,-0.222274,-0.784143,0.219383,True,circular moving blocks over origins,3,2000,73850
unconditional,US,energy,GIB-VAR,Minnesota BVAR,calm,9,5,-0.062128,-0.243244,0.092900,True,circular moving blocks over origins,3,2000,40193
unconditional,US,energy,GIB-VAR,Minnesota BVAR,crisis,10,4,-0.366406,-1.605255,0.534998,True,circular moving blocks over origins,3,2000,35585
unconditional,US,variogram,GIB-VAR,Minnesota BVAR,overall,19,12,-0.011912,-0.038179,0.008881,True,circular moving blocks over origins,3,2000,81737
unconditional,US,variogram,GIB-VAR,Minnesota BVAR,calm,9,7,-0.005826,-0.015280,0.001203,True,circular moving blocks over origins,3,2000,71351
unconditional,US,variogram,GIB-VAR,Minnesota BVAR,crisis,10,5,-0.017390,-0.078189,0.022781,True,circular moving blocks over origins,3,2000,65183
unconditional,US,crps,Gaussian VAR,Minnesota BVAR,overall,19,6,0.137974,0.014192,0.358620,False,circular moving blocks over origins,3,2000,41516
unconditional,US,crps,Gaussian VAR,Minnesota BVAR,calm,9,3,0.034822,0.006008,0.077344,False,circular moving blocks over origins,3,2000,32723
unconditional,US,crps,Gaussian VAR,Minnesota BVAR,crisis,10,3,0.230810,0.007440,0.608937,False,circular moving blocks over origins,3,2000,68985
unconditional,US,qwcrps,Gaussian VAR,Minnesota BVAR,overall,19,6,0.100113,0.013498,0.229462,False,circular moving blocks over origins,3,2000,70814
unconditional,US,qwcrps,Gaussian VAR,Minnesota BVAR,calm,9,2,0.024517,0.006105,0.048310,False,circular moving blocks over origins,3,2000,87561
unconditional,US,qwcrps,Gaussian VAR,Minnesota BVAR,crisis,10,4,0.168150,0.005997,0.380343,False,circular moving blocks over origins,3,2000,26442
unconditional,US,energy,Gaussian VAR,Minnesota BVAR,overall,19,5,1.638348,0.189658,4.092158,False,circular moving blocks over origins,3,2000,45705
unconditional,US,energy,Gaussian VAR,Minnesota BVAR,calm,9,3,0.465076,0.037146,1.133122,False,circular moving blocks over origins,3,2000,86825
unconditional,US,energy,Gaussian VAR,Minnesota BVAR,crisis,10,2,2.694293,0.174236,6.818951,False,circular moving blocks over origins,3,2000,31444
unconditional,US,variogram,Gaussian VAR,Minnesota BVAR,overall,19,6,0.058439,0.002978,0.148733,False,circular moving blocks over origins,3,2000,63052
unconditional,US,variogram,Gaussian VAR,Minnesota BVAR,calm,9,3,0.011344,-0.002070,0.032004,True,circular moving blocks over origins,3,2000,62527
unconditional,US,variogram,Gaussian VAR,Minnesota BVAR,crisis,10,3,0.100825,0.002017,0.245805,False,circular moving blocks over origins,3,2000,63380
unconditional,US,crps,GIB-VAR,AR-t,overall,19,12,-0.020318,-0.054975,0.006213,True,circular moving blocks over origins,3,2000,60693
unconditional,US,crps,GIB-VAR,AR-t,calm,9,4,0.009254,-0.001223,0.025147,True,circular moving blocks over origins,3,2000,48614
unconditional,US,crps,GIB-VAR,AR-t,crisis,10,8,-0.046932,-0.103674,0.002380,True,circular moving blocks over origins,3,2000,50396
unconditional,US,qwcrps,GIB-VAR,AR-t,overall,19,10,-0.011406,-0.036825,0.011372,True,circular moving blocks over origins,3,2000,25620
unconditional,US,qwcrps,GIB-VAR,AR-t,calm,9,2,0.019036,0.008553,0.031795,False,circular moving blocks over origins,3,2000,20795
unconditional,US,qwcrps,GIB-VAR,AR-t,crisis,10,8,-0.038803,-0.079832,0.000993,True,circular moving blocks over origins,3,2000,47908
unconditional,US,energy,GIB-VAR,AR-t,overall,19,10,-0.312638,-0.740221,0.057253,True,circular moving blocks over origins,3,2000,17278
unconditional,US,energy,GIB-VAR,AR-t,calm,9,4,-0.023026,-0.142182,0.118313,True,circular moving blocks over origins,3,2000,41055
unconditional,US,energy,GIB-VAR,AR-t,crisis,10,6,-0.573288,-1.289359,0.217323,True,circular moving blocks over origins,3,2000,59843
unconditional,US,variogram,GIB-VAR,AR-t,overall,19,10,-0.008420,-0.027743,0.005296,True,circular moving blocks over origins,3,2000,51375
unconditional,US,variogram,GIB-VAR,AR-t,calm,9,4,0.001586,-0.005850,0.012952,True,circular moving blocks over origins,3,2000,87654
unconditional,US,variogram,GIB-VAR,AR-t,crisis,10,6,-0.017427,-0.049415,0.007423,True,circular moving blocks over origins,3,2000,50958
