generator,regime,n_origins,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
GIB-VAR,overall,19,0.629317,0.634397,9.434854,0.284342,0.773757,0.896564,2.188218,3.689068
GIB-VAR,crisis,10,0.883272,0.920880,13.989234,0.428758,0.672569,0.830903,2.333736,3.936442
GIB-VAR,calm,9,0.347145,0.316081,4.374431,0.123879,0.886188,0.969522,2.026531,3.414208
Gaussian VAR,overall,19,0.794313,0.747954,11.295476,0.354693,0.684028,0.816703,1.893215,2.887833
Gaussian VAR,crisis,10,1.156715,1.107373,17.049933,0.546973,0.535417,0.709375,1.897865,2.893482
Gaussian VAR,calm,9,0.391643,0.348599,4.901636,0.141049,0.849151,0.935957,1.888049,2.881556
Minnesota BVAR,overall,19,0.656339,0.647840,9.657128,0.296254,0.803363,0.903692,2.393368,3.720962
Minnesota BVAR,crisis,10,0.925905,0.939223,14.355640,0.446148,0.691667,0.839931,2.569061,4.010307
Minnesota BVAR,calm,9,0.356821,0.324082,4.436560,0.129705,0.927469,0.974537,2.198153,3.399468
AR-t,overall,19,0.649635,0.645802,9.747492,0.292762,0.750000,0.881031,1.893181,3.312338
AR-t,crisis,10,0.930205,0.959684,14.562522,0.446184,0.619444,0.801389,1.924273,3.343392
AR-t,calm,9,0.337891,0.297045,4.397458,0.122293,0.895062,0.969522,1.858635,3.277833
